ID,SMILES,UX,UY,MOLWT,SOLUBILITY,LOGP,NHACCEPT,NHDONER,NHETEROATOMS,NROTABLEBONDS,FRACCSP3,TPSA
CHEMBL1630130,O=C(CCN1CCCCC1)Nc1ccc(-c2cccn3c(=O)cc(N4CCOCC4)nc23)c2sc3ccccc3c12,6.188337326049805,8.437349319458008,567.7150000000004,-1.78,5.380500000000005,8,1,9,6,0.34375,79.18
CHEMBL1796294,CNC(=O)c1ccc(Oc2ccc(C(=O)NCc3ccncc3)cc2)cc1,8.078668594360352,4.104523181915283,361.401,-1.73,3.1635000000000018,4,2,6,6,0.09523809523809523,80.32
CHEMBL452791,COCCOCCOc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1,9.417627334594727,8.854722023010254,379.4380000000001,-1.68,2.0464,6,3,9,10,0.29411764705882354,125.9
CHEMBL2023350,Cc1nn(C2CCN(C)CC2)cc1-c1cnc(N)c(-c2nc3ccccc3o2)c1,10.718445777893066,9.484262466430664,388.47500000000014,-1.67,3.9106200000000024,7,1,7,3,0.3181818181818182,86.0
CHEMBL309573,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,2.1512038707733154,0.2588731050491333,424.4860000000001,-3.15,2.4596,8,2,10,8,0.15,110.50999999999999
CHEMBL399772,Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N3CCOCC3)CC2)c1,10.078413963317871,-9.304166793823242,631.8870000000001,-1.06,4.9631400000000045,6,1,9,8,0.6111111111111112,72.12
CHEMBL2325986,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccc1,-8.985584259033203,3.1078600883483887,364.4530000000002,-1.01,2.133,5,3,7,4,0.35,99.93
CHEMBL1796297,O=C(NCc1ccncc1)c1ccc(Oc2ccc(C#CC3(O)CN4CCC3CC4)cc2)cc1,9.15445327758789,2.488523483276367,453.5420000000003,-0.97,3.6121000000000025,5,2,6,5,0.2857142857142857,74.69
CHEMBL2164682,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCc3[nH]c4ccccc4c3C2)CC1,-4.159251689910889,1.7673254013061523,390.48700000000014,-0.04,3.0313800000000013,3,2,6,3,0.5217391304347826,88.99000000000001
CHEMBL2153175,CCCSc1ncccc1C(=O)N(C)C1CCCCC1,7.202905178070068,4.6916422843933105,292.4480000000001,-0.02,3.988400000000003,3,0,4,5,0.625,33.2
CHEMBL1899709,Cc1[nH]c2ccccc2c1CC#N,6.556397914886475,6.839433670043945,170.21499999999995,0.01,2.5424000000000007,1,1,2,1,0.18181818181818182,39.58
CHEMBL99689,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,5.8172221183776855,7.750817775726318,404.4740000000001,0.04,3.136780000000001,8,3,8,9,0.22727272727272727,106.33
CHEMBL2171990,CS(=O)(=O)c1ccc(N2CCN(C(=O)C3CCCCC3C(=O)NCC#N)CC2)cc1,-3.833739995956421,2.0518696308135986,432.5460000000002,-0.56,1.1848800000000004,6,1,9,5,0.5714285714285714,110.58000000000001
